epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
43,0.0331,0.031058,0.0061326,0.99651,0.9963,0.99477,0.71585,0.039445,0.043053,0.0076578,0.0048025,0.0048025,0.0048025
44,0.032848,0.030813,0.0061281,0.99712,0.99628,0.99471,0.71715,0.038717,0.042943,0.0075411,0.0046788,0.0046788,0.0046788
45,0.032578,0.03039,0.006062,0.99671,0.99708,0.99478,0.71585,0.03924,0.04284,0.0076176,0.004555,0.004555,0.004555
46,0.032538,0.030232,0.0061134,0.99714,0.9962,0.99474,0.71543,0.03955,0.041824,0.0074426,0.0044313,0.0044313,0.0044313
47,0.032364,0.030313,0.0060153,0.99663,0.99697,0.99478,0.716,0.039168,0.042574,0.0075786,0.0043075,0.0043075,0.0043075
48,0.032153,0.029881,0.0060132,0.99682,0.99654,0.99486,0.70655,0.039439,0.044285,0.0075796,0.0041837,0.0041837,0.0041837
49,0.032108,0.030041,0.0060432,0.99757,0.99689,0.99477,0.71217,0.039541,0.04244,0.0073128,0.00406,0.00406,0.00406
50,0.031918,0.029706,0.0059738,0.99706,0.99694,0.99484,0.7067,0.039642,0.044125,0.0074853,0.0039362,0.0039362,0.0039362
51,0.031797,0.029669,0.0059959,0.99665,0.99677,0.99472,0.71623,0.039507,0.043133,0.0075716,0.0038125,0.0038125,0.0038125
52,0.031655,0.029138,0.0059567,0.99642,0.99707,0.99449,0.71991,0.039019,0.042175,0.0074103,0.0036888,0.0036888,0.0036888
53,0.031562,0.029475,0.0059805,0.99692,0.99713,0.99475,0.71594,0.039543,0.04248,0.0076124,0.003565,0.003565,0.003565
54,0.031398,0.029014,0.0059141,0.99756,0.99759,0.99471,0.71251,0.039529,0.042983,0.0075905,0.0034413,0.0034413,0.0034413
55,0.03134,0.028887,0.0059292,0.99794,0.99772,0.99472,0.71204,0.039619,0.043735,0.0074722,0.0033175,0.0033175,0.0033175
56,0.031039,0.028714,0.0059419,0.99722,0.99817,0.99462,0.72137,0.039202,0.042069,0.0074939,0.0031938,0.0031938,0.0031938
57,0.031145,0.028502,0.0058912,0.99697,0.9967,0.99469,0.71555,0.039122,0.043288,0.0076143,0.00307,0.00307,0.00307
58,0.030982,0.028424,0.0058245,0.99663,0.99604,0.99475,0.71553,0.039914,0.043276,0.0077269,0.0029462,0.0029462,0.0029462
59,0.03068,0.028301,0.0057638,0.99697,0.99713,0.99466,0.72184,0.038864,0.043019,0.0073323,0.0028225,0.0028225,0.0028225
60,0.030673,0.028048,0.005823,0.99756,0.99788,0.99465,0.72584,0.038956,0.042277,0.0074267,0.0026987,0.0026987,0.0026987
61,0.03066,0.027958,0.0057726,0.99706,0.99739,0.99454,0.72603,0.039292,0.042068,0.0074598,0.002575,0.002575,0.002575
62,0.030371,0.02789,0.0057532,0.99769,0.99684,0.99473,0.72988,0.039394,0.041563,0.0076723,0.0024513,0.0024513,0.0024513
63,0.030055,0.027725,0.0056802,0.99689,0.99722,0.9946,0.72359,0.039396,0.042161,0.0077155,0.0023275,0.0023275,0.0023275
64,0.030454,0.028037,0.0057701,0.99784,0.99663,0.99466,0.72807,0.039088,0.041835,0.0074059,0.0022038,0.0022038,0.0022038
65,0.030226,0.028086,0.0057142,0.99778,0.99739,0.99464,0.7242,0.039601,0.042282,0.0076267,0.00208,0.00208,0.00208
66,0.030101,0.027916,0.0056927,0.99778,0.99778,0.99466,0.72073,0.039598,0.042885,0.0075981,0.0019563,0.0019563,0.0019563
67,0.030176,0.02759,0.0057723,0.99728,0.99644,0.99472,0.72244,0.039427,0.042424,0.0073663,0.0018325,0.0018325,0.0018325
68,0.029964,0.027409,0.0056618,0.99785,0.99749,0.99478,0.72793,0.038814,0.041734,0.007346,0.0017087,0.0017087,0.0017087
